date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:35	29351/29351	---M--	200	added ('OK')	image/jpeg	etag:%2272a7-5218fd750f400%22	https://abc/wedding/wedding-new/images/couple-3.jpg	C:/client%203/abc/wedding/wedding-new/images/couple-3.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:35	31311/31311	---M--	200	added ('OK')	image/jpeg	etag:%227a4f-5218fd8ddae80%22	https://abc/wedding/wedding-new/images/couple-4.jpg	C:/client%203/abc/wedding/wedding-new/images/couple-4.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:36	95992/95992	---M-Z	200	added ('OK')	application/javascript	etag:%22176f8-5200326d46e00-gzip%22	https://abc/wedding/wedding-new/js/jquery.min.js	C:/client%203/abc/wedding/wedding-new/js/jquery.min.js	(from https://abc/wedding/wedding-new/index.html)
22:39:36	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-518a03c5b3e80-gzip%22	https://abc/wedding/wedding-new/js/bootstrap.min.js	C:/client%203/abc/wedding/wedding-new/js/bootstrap.min.js	(from https://abc/wedding/wedding-new/index.html)
22:39:37	5466/5466	---M-Z	200	added ('OK')	application/javascript	etag:%22155a-53ae997230940-gzip%22	https://abc/wedding/wedding-new/js/jquery.flexnav.js	C:/client%203/abc/wedding/wedding-new/js/jquery.flexnav.js	(from https://abc/wedding/wedding-new/index.html)
22:39:38	3459/3459	---M-Z	200	added ('OK')	application/javascript	etag:%22d83-5426e78ad1c80-gzip%22	https://abc/wedding/wedding-new/js/navigation.js	C:/client%203/abc/wedding/wedding-new/js/navigation.js	(from https://abc/wedding/wedding-new/index.html)
22:39:39	23890/23890	---M-Z	200	added ('OK')	application/javascript	etag:%225d52-4f93bc091a600-gzip%22	https://abc/wedding/wedding-new/js/owl.carousel.min.js	C:/client%203/abc/wedding/wedding-new/js/owl.carousel.min.js	(from https://abc/wedding/wedding-new/index.html)
22:39:39	493/493	---M-Z	200	added ('OK')	application/javascript	etag:%221ed-53ba839833d40-gzip%22	https://abc/wedding/wedding-new/js/slider.js	C:/client%203/abc/wedding/wedding-new/js/slider.js	(from https://abc/wedding/wedding-new/index.html)
22:39:40	464/464	---M-Z	200	added ('OK')	application/javascript	etag:%221d0-5260caa4a1c80-gzip%22	https://abc/wedding/wedding-new/js/testimonial.js	C:/client%203/abc/wedding/wedding-new/js/testimonial.js	(from https://abc/wedding/wedding-new/index.html)
22:39:40	7592/7592	---M-Z	200	added ('OK')	application/javascript	etag:%221da8-51d8bf07df700-gzip%22	https://abc/wedding/wedding-new/js/jquery.sticky.js	C:/client%203/abc/wedding/wedding-new/js/jquery.sticky.js	(from https://abc/wedding/wedding-new/index.html)
22:39:41	188/188	---M-Z	200	added ('OK')	application/javascript	etag:%22bc-53ae5891f3980-gzip%22	https://abc/wedding/wedding-new/js/header-sticky.js	C:/client%203/abc/wedding/wedding-new/js/header-sticky.js	(from https://abc/wedding/wedding-new/index.html)
22:39:42	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-518a0013a8680-gzip%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.eot	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.eot	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:42	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-518a0013a8680-gzip%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.eot?	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regulard41d.eot	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:42	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-518a0013a8680%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.woff2	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.html	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:43	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-518a0013a8680%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.woff	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.woff	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:45	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-518a0013a8680%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.ttf	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.ttf	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:49	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-518a0013a8680%22	https://abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.svg	C:/client%203/abc/wedding/wedding-new/fonts/glyphicons-halflings-regular.svg	(from https://abc/wedding/wedding-new/css/bootstrap.min.css)
22:39:49	1059/1059	---M--	200	added ('OK')	image/png	etag:%22423-520134134cc80%22	https://abc/wedding/wedding-new/images/arrow.png	C:/client%203/abc/wedding/wedding-new/images/arrow.png	(from https://abc/wedding/wedding-new/css/style.css)
22:39:50	2054/2054	---M--	200	added ('OK')	image/png	etag:%22806-5219646ab5d80%22	https://abc/wedding/wedding-new/images/popular.png	C:/client%203/abc/wedding/wedding-new/images/popular.png	(from https://abc/wedding/wedding-new/css/style.css)
22:39:50	2149/2149	---M--	200	added ('OK')	image/png	etag:%22865-5219655ed9d80%22	https://abc/wedding/wedding-new/images/top-rated.png	C:/client%203/abc/wedding/wedding-new/images/top-rated.png	(from https://abc/wedding/wedding-new/css/style.css)
22:39:51	2068/2068	---M--	200	added ('OK')	image/png	etag:%22814-521a2e7448800%22	https://abc/wedding/wedding-new/images/feature-label.png	C:/client%203/abc/wedding/wedding-new/images/feature-label.png	(from https://abc/wedding/wedding-new/css/style.css)
22:39:57	500665/500665	---M--	200	added ('OK')	image/jpeg	etag:%227a3b9-53ad54b75a700%22	https://abc/wedding/wedding-new/images/parallax-2.jpg	C:/client%203/abc/wedding/wedding-new/images/parallax-2.jpg	(from https://abc/wedding/wedding-new/css/style.css)
22:39:59	82934/82934	---M--	200	added ('OK')	image/jpeg	etag:%22143f6-52e75baf19880%22	https://abc/wedding/wedding-new/images/dashboard-page-header.jpg	C:/client%203/abc/wedding/wedding-new/images/dashboard-page-header.jpg	(from https://abc/wedding/wedding-new/css/style.css)
22:40:06	703553/703553	---M--	200	added ('OK')	image/jpeg	etag:%22abc41-53a6925943400%22	https://abc/wedding/wedding-new/images/page-header-img.jpg	C:/client%203/abc/wedding/wedding-new/images/page-header-img.jpg	(from https://abc/wedding/wedding-new/css/style.css)
22:40:06	806390/806390	---M--	200	added ('OK')	image/jpeg	etag:%22c4df6-53aba65cfd280%22	https://abc/wedding/wedding-new/images/vendor-profile-img.jpg	C:/client%203/abc/wedding/wedding-new/images/vendor-profile-img.jpg	(from https://abc/wedding/wedding-new/css/style.css)
22:40:08	18116/18116	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Dec%202019%2006:40:07%20GMT	https://abc/wedding/wedding-new/css/AjaxLoader.gif	C:/client%203/abc/wedding/wedding-new/css/AjaxLoader.gif	(from https://abc/wedding/wedding-new/css/owl.theme.css)
22:40:10	12480/12480	---M-Z	200	added ('OK')	text/css	etag:%2230c0-53adf18dfee40-gzip%22	https://abc/wedding/wedding-new/css/fontello.css	C:/client%203/abc/wedding/wedding-new/css/fontello.css	(from https://abc/wedding/wedding-new/faq.html)
22:40:11	36031/36031	---M-Z	200	added ('OK')	text/css	etag:%228cbf-53ae4f7afc780-gzip%22	https://abc/wedding/wedding-new/css/jquery-ui.css	C:/client%203/abc/wedding/wedding-new/css/jquery-ui.css	(from https://abc/wedding/wedding-new/signup-couple.html)
22:40:15	543709/543709	---M--	200	added ('OK')	image/jpeg	etag:%2284bdd-53af6e55d0e00%22	https://abc/wedding/wedding-new/images/couple-hero.jpg	C:/client%203/abc/wedding/wedding-new/images/couple-hero.jpg	(from https://abc/wedding/wedding-new/css/style.css)
22:40:19	520098/520098	---M-Z	200	added ('OK')	application/javascript	etag:W/%22577fdf87-7efa2%22	https://code.jquery.com/ui/1.12.0/jquery-ui.js	C:/client%203/code.jquery.com/ui/1.12.0/jquery-ui.js	(from https://abc/wedding/wedding-new/signup-couple.html)
22:40:19	243/243	---M-Z	200	added ('OK')	application/javascript	etag:%22f3-53be9fd430580-gzip%22	https://abc/wedding/wedding-new/js/date-script.js	C:/client%203/abc/wedding/wedding-new/js/date-script.js	(from https://abc/wedding/wedding-new/signup-couple.html)
22:40:20	14714/14714	---M--	200	added ('OK')	text/html	etag:%22397a-54a0e2bd5e96d%22	https://abc/wedding/wedding-new/forget-password.html	C:/client%203/abc/wedding/wedding-new/forget-password.html	(from https://abc/wedding/wedding-new/login-page.html)
22:40:27	1181161/1181161	---M--	200	added ('OK')	image/jpeg	etag:%221205e9-53af65f9c5500%22	https://abc/wedding/wedding-new/images/slider-1.jpg	C:/client%203/abc/wedding/wedding-new/images/slider-1.jpg	(from https://abc/wedding/wedding-new/index-2.html)
